id,flight_id,registration,pattern_type,confidence_score,detected_at,start_time,end_time,duration_seconds,center_latitude,center_longitude,radius_meters,max_altitude_feet,min_altitude_feet,description,geographic_feature,reviewed,legal_relevance,potential_violation
5233,fr24_active_3c3a79e0,N623FB,normal,0,2025-09-16 08:55:38.368442+00,,,,,,,,,,,pending,,
5234,fr24_active_3c3a1fd9,N623FB,normal,0,2025-09-16 08:55:38.369702+00,,,,,,,,,,,pending,,
5235,fr24_active_3c39ca1f,N623FB,normal,0,2025-09-16 08:55:38.37074+00,,,,,,,,,,,pending,,
5236,fr24_active_3c38e503,N625FB,normal,0,2025-09-16 08:55:38.372248+00,,,,,,,,,,,pending,,
5237,fr24_active_3c382007,N625FB,excessive_hovering,1,2025-09-16 08:55:38.373419+00,,,,,,,,,,,pending,,
5238,fr24_active_3c3504ca,N625FB,normal,0,2025-09-16 08:55:38.376334+00,,,,,,,,,,,pending,,
5239,fr24_active_3c3457fb,N625FB,normal,0,2025-09-16 08:55:38.377382+00,,,,,,,,,,,pending,,
5240,fr24_active_3c332af4,N623FB,excessive_hovering,1,2025-09-16 08:55:38.378839+00,,,,,,,,,,,pending,,
5241,fr24_complete_3c332af4,N623FB,sky_art,1,2025-09-16 08:55:38.567653+00,,,,,,,,,,,pending,,
5242,fr24_active_3c32ff03,N621FB,normal,0,2025-09-16 08:55:38.571916+00,,,,,,,,,,,pending,,
5243,fr24_complete_3c32ff03,N621FB,sky_art,1,2025-09-16 08:55:38.700059+00,,,,,,,,,,,pending,,
5244,fr24_active_3c32d650,N623FB,excessive_hovering,1,2025-09-16 08:55:38.703758+00,,,,,,,,,,,pending,,
5245,fr24_complete_3c32d650,N623FB,intensive_surveillance,1,2025-09-16 08:55:39.099488+00,,,,,,,,,,,pending,,
5246,fr24_active_3c32af4d,N621FB,excessive_hovering,1,2025-09-16 08:55:39.103367+00,,,,,,,,,,,pending,,
5247,fr24_complete_3c32af4d,N621FB,intensive_surveillance,1,2025-09-16 08:55:39.387808+00,,,,,,,,,,,pending,,
5248,fr24_active_3c327d9f,N624FB,normal,0,2025-09-16 08:55:39.391089+00,,,,,,,,,,,pending,,
5249,fr24_complete_3c327d9f,N624FB,intensive_surveillance,1,2025-09-16 08:55:39.627591+00,,,,,,,,,,,pending,,
5250,fr24_complete_3c320a5b,N624FB,intensive_surveillance,1,2025-09-16 08:55:40.111605+00,,,,,,,,,,,pending,,
5251,fr24_active_3c320a5b,N624FB,normal,0,2025-09-16 08:55:40.115693+00,,,,,,,,,,,pending,,
5252,fr24_complete_3c31c482,N624FB,excessive_hovering,1,2025-09-16 08:55:40.181094+00,,,,,,,,,,,pending,,
5253,fr24_active_3c314abc,N625FB,excessive_hovering,1,2025-09-16 08:55:40.183159+00,,,,,,,,,,,pending,,
5254,fr24_complete_3c314abc,N625FB,sky_art,1,2025-09-16 08:55:40.308254+00,,,,,,,,,,,pending,,
5255,fr24_complete_3c30ce13,N625FB,sky_art,0.8880410864131959,2025-09-16 08:55:40.383575+00,,,,,,,,,,,pending,,
5256,fr24_active_3c30ce13,N625FB,normal,0,2025-09-16 08:55:40.386048+00,,,,,,,,,,,pending,,
