Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1752128934,2025-07-10T06:28:54Z,N624FB,"33.687,-112.073372",0,0,264
1752128941,2025-07-10T06:29:01Z,N624FB,"33.686947,-112.073723",0,0,267
1752128948,2025-07-10T06:29:08Z,N624FB,"33.686794,-112.073952",0,6,357
1752128961,2025-07-10T06:29:21Z,N624FB,"33.686829,-112.074562",1575,32,261
1752128963,2025-07-10T06:29:23Z,N624FB,"33.686783,-112.074951",1575,46,262
1752128965,2025-07-10T06:29:25Z,N624FB,"33.686687,-112.075592",1575,57,265
1752128968,2025-07-10T06:29:28Z,N624FB,"33.686646,-112.076523",1600,62,266
1752128970,2025-07-10T06:29:30Z,N624FB,"33.686642,-112.077194",1625,64,266
1752128972,2025-07-10T06:29:32Z,N624FB,"33.68655,-112.07811",1650,64,265
1752128974,2025-07-10T06:29:34Z,N624FB,"33.686508,-112.078934",1700,64,265
1752128976,2025-07-10T06:29:36Z,N624FB,"33.686462,-112.079605",1750,62,265
1752128979,2025-07-10T06:29:39Z,N624FB,"33.686409,-112.080345",1775,60,265
1752128981,2025-07-10T06:29:41Z,N624FB,"33.686371,-112.081116",1850,57,263
1752128983,2025-07-10T06:29:43Z,N624FB,"33.686272,-112.081718",1900,52,254
1752128985,2025-07-10T06:29:45Z,N624FB,"33.68605,-112.082298",1950,51,228
1752128988,2025-07-10T06:29:48Z,N624FB,"33.685547,-112.082687",2000,61,201
1752128990,2025-07-10T06:29:50Z,N624FB,"33.684769,-112.082909",2025,69,189
1752128992,2025-07-10T06:29:52Z,N624FB,"33.684128,-112.082977",2025,78,182
1752128995,2025-07-10T06:29:55Z,N624FB,"33.683151,-112.082977",2050,82,180
1752128997,2025-07-10T06:29:57Z,N624FB,"33.682358,-112.082977",2050,86,179
1752128999,2025-07-10T06:29:59Z,N624FB,"33.681709,-112.082916",2050,90,178
1752129001,2025-07-10T06:30:01Z,N624FB,"33.680779,-112.082916",2075,94,179
1752129003,2025-07-10T06:30:03Z,N624FB,"33.679688,-112.082909",2075,97,179
1752129005,2025-07-10T06:30:05Z,N624FB,"33.678589,-112.082909",2075,100,180
1752129007,2025-07-10T06:30:07Z,N624FB,"33.677567,-112.082916",2075,102,180
1752129010,2025-07-10T06:30:10Z,N624FB,"33.676392,-112.082909",2075,105,180
1752129012,2025-07-10T06:30:12Z,N624FB,"33.675385,-112.082909",2075,107,179
1752129015,2025-07-10T06:30:15Z,N624FB,"33.674026,-112.082916",2075,109,179
1752129017,2025-07-10T06:30:17Z,N624FB,"33.673004,-112.082863",2075,110,179
1752129019,2025-07-10T06:30:19Z,N624FB,"33.672043,-112.082855",2075,111,179
1752129025,2025-07-10T06:30:25Z,N624FB,"33.668442,-112.082809",2075,115,178
