Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1755601794,2025-08-19T11:09:54Z,N623FB,"33.684246,-112.081528",1825,10,241
1755601799,2025-08-19T11:09:59Z,N623FB,"33.683575,-112.082039",1925,99,189
1755601805,2025-08-19T11:10:05Z,N623FB,"33.678032,-112.083435",2000,100,189
1755601809,2025-08-19T11:10:09Z,N623FB,"33.675934,-112.083862",2025,104,189
1755601811,2025-08-19T11:10:11Z,N623FB,"33.675003,-112.084061",2025,107,189
1755601814,2025-08-19T11:10:14Z,N623FB,"33.673782,-112.084312",2025,109,189
1755601816,2025-08-19T11:10:16Z,N623FB,"33.672775,-112.08448",2025,110,189
1755601825,2025-08-19T11:10:25Z,N623FB,"33.668114,-112.085495",2050,115,190
1755601831,2025-08-19T11:10:31Z,N623FB,"33.664719,-112.08622",2050,118,191
1755601838,2025-08-19T11:10:38Z,N623FB,"33.660782,-112.087173",2050,120,191
1755601845,2025-08-19T11:10:45Z,N623FB,"33.657314,-112.088074",2025,122,191
1755601854,2025-08-19T11:10:54Z,N623FB,"33.6521,-112.089272",2025,122,189
1755601861,2025-08-19T11:11:01Z,N623FB,"33.648098,-112.090073",2025,120,190
1755601868,2025-08-19T11:11:08Z,N623FB,"33.644302,-112.090927",2050,118,190
1755601875,2025-08-19T11:11:15Z,N623FB,"33.640686,-112.091766",2050,117,192
1755601884,2025-08-19T11:11:24Z,N623FB,"33.635807,-112.093048",2075,117,192
1755601890,2025-08-19T11:11:30Z,N623FB,"33.632504,-112.093964",2100,117,192
1755601897,2025-08-19T11:11:37Z,N623FB,"33.628967,-112.094849",2100,117,188
1755601901,2025-08-19T11:11:41Z,N623FB,"33.626591,-112.095169",2100,118,186
1755601903,2025-08-19T11:11:43Z,N623FB,"33.625427,-112.095276",2100,118,185
1755601905,2025-08-19T11:11:45Z,N623FB,"33.62431,-112.095451",2100,118,185
1755601908,2025-08-19T11:11:48Z,N623FB,"33.623005,-112.095566",2100,118,185
1755601910,2025-08-19T11:11:50Z,N623FB,"33.621826,-112.095695",2100,118,185
1755601912,2025-08-19T11:11:52Z,N623FB,"33.620544,-112.095863",2125,119,185
