Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1755747246,2025-08-21T03:34:06Z,N623FB,"33.686794,-112.07399",0,6,36
1755747277,2025-08-21T03:34:37Z,N623FB,"33.686829,-112.074226",1575,24,255
1755747279,2025-08-21T03:34:39Z,N623FB,"33.686783,-112.074669",1575,35,263
1755747282,2025-08-21T03:34:42Z,N623FB,"33.686737,-112.07518",1575,49,266
1755747288,2025-08-21T03:34:48Z,N623FB,"33.686642,-112.077255",1650,55,263
1755747295,2025-08-21T03:34:55Z,N623FB,"33.686455,-112.079376",1775,55,264
1755747302,2025-08-21T03:35:02Z,N623FB,"33.686272,-112.081436",1900,55,256
1755747304,2025-08-21T03:35:04Z,N623FB,"33.686039,-112.082001",1950,57,232
1755747306,2025-08-21T03:35:06Z,N623FB,"33.685455,-112.082573",1950,60,210
1755747308,2025-08-21T03:35:08Z,N623FB,"33.684998,-112.082741",1975,67,191
1755747310,2025-08-21T03:35:10Z,N623FB,"33.684219,-112.082855",1975,73,180
1755747313,2025-08-21T03:35:13Z,N623FB,"33.683475,-112.082809",1975,77,176
1755747315,2025-08-21T03:35:15Z,N623FB,"33.682571,-112.082741",2000,82,177
1755747317,2025-08-21T03:35:17Z,N623FB,"33.681755,-112.082687",2000,84,178
1755747319,2025-08-21T03:35:19Z,N623FB,"33.680832,-112.082687",2000,87,180
1755747321,2025-08-21T03:35:21Z,N623FB,"33.68008,-112.082748",2000,89,180
1755747324,2025-08-21T03:35:24Z,N623FB,"33.679054,-112.082748",2025,92,182
1755747326,2025-08-21T03:35:26Z,N623FB,"33.677948,-112.082855",2025,94,183
1755747328,2025-08-21T03:35:28Z,N623FB,"33.677078,-112.082909",2025,97,183
1755747330,2025-08-21T03:35:30Z,N623FB,"33.676071,-112.08297",2025,98,184
1755747332,2025-08-21T03:35:32Z,N623FB,"33.675423,-112.083038",2000,99,184
1755747335,2025-08-21T03:35:35Z,N623FB,"33.674213,-112.083145",2025,100,185
1755747337,2025-08-21T03:35:37Z,N623FB,"33.673325,-112.083305",2025,101,186
1755747339,2025-08-21T03:35:39Z,N623FB,"33.672165,-112.083496",2025,102,189
1755747341,2025-08-21T03:35:41Z,N623FB,"33.671173,-112.083694",2025,102,192
1755747343,2025-08-21T03:35:43Z,N623FB,"33.670116,-112.084061",2025,102,198
1755747346,2025-08-21T03:35:46Z,N623FB,"33.669388,-112.084427",2025,101,205
1755747348,2025-08-21T03:35:48Z,N623FB,"33.668255,-112.085205",2025,101,213
1755747350,2025-08-21T03:35:50Z,N623FB,"33.667511,-112.085823",2025,100,213
1755747352,2025-08-21T03:35:52Z,N623FB,"33.666763,-112.086349",2050,100,207
1755747354,2025-08-21T03:35:54Z,N623FB,"33.665646,-112.086929",2050,100,199
1755747356,2025-08-21T03:35:56Z,N623FB,"33.664764,-112.087158",2075,101,189
1755747363,2025-08-21T03:36:03Z,N623FB,"33.661285,-112.087624",2075,101,190
1755747365,2025-08-21T03:36:05Z,N623FB,"33.660618,-112.087845",2075,101,197
1755747368,2025-08-21T03:36:08Z,N623FB,"33.6595,-112.088348",2075,101,203
1755747370,2025-08-21T03:36:10Z,N623FB,"33.658619,-112.088867",2075,101,208
1755747372,2025-08-21T03:36:12Z,N623FB,"33.657623,-112.089584",2075,101,208
1755747377,2025-08-21T03:36:17Z,N623FB,"33.655563,-112.090538",2100,103,194
1755747379,2025-08-21T03:36:19Z,N623FB,"33.654381,-112.09082",2100,104,191
1755747381,2025-08-21T03:36:21Z,N623FB,"33.653503,-112.091042",2075,105,194
1755747386,2025-08-21T03:36:26Z,N623FB,"33.651398,-112.091934",2075,104,204
1755747388,2025-08-21T03:36:28Z,N623FB,"33.650566,-112.092422",2075,104,208
1755747390,2025-08-21T03:36:30Z,N623FB,"33.649567,-112.093056",2075,105,206
1755747392,2025-08-21T03:36:32Z,N623FB,"33.648468,-112.093674",2100,105,202
1755747399,2025-08-21T03:36:39Z,N623FB,"33.645538,-112.09465",2075,108,192
1755747401,2025-08-21T03:36:41Z,N623FB,"33.644485,-112.09491",2075,108,191
1755747403,2025-08-21T03:36:43Z,N623FB,"33.643478,-112.095131",2075,109,191
1755747412,2025-08-21T03:36:52Z,N623FB,"33.638992,-112.096252",2050,111,191
1755747414,2025-08-21T03:36:54Z,N623FB,"33.637802,-112.096535",2050,112,191
1755747417,2025-08-21T03:36:57Z,N623FB,"33.636566,-112.09687",2025,112,191
1755747419,2025-08-21T03:36:59Z,N623FB,"33.63533,-112.097153",2025,112,191
1755747421,2025-08-21T03:37:01Z,N623FB,"33.634323,-112.097427",2025,112,191
1755747423,2025-08-21T03:37:03Z,N623FB,"33.633152,-112.097687",2025,112,191
1755747430,2025-08-21T03:37:10Z,N623FB,"33.629745,-112.09861",2025,110,193
1755747438,2025-08-21T03:37:18Z,N623FB,"33.625443,-112.099617",2025,110,188
1755747440,2025-08-21T03:37:20Z,N623FB,"33.624496,-112.0998",2025,109,186
1755747443,2025-08-21T03:37:23Z,N623FB,"33.623199,-112.099899",2025,110,184
1755747445,2025-08-21T03:37:25Z,N623FB,"33.622261,-112.100029",2000,111,183
1755747447,2025-08-21T03:37:27Z,N623FB,"33.621098,-112.100082",2000,111,182
1755747449,2025-08-21T03:37:29Z,N623FB,"33.620071,-112.100143",2000,111,182
1755747452,2025-08-21T03:37:32Z,N623FB,"33.618862,-112.100143",2000,111,181
1755747454,2025-08-21T03:37:34Z,N623FB,"33.617569,-112.100235",2025,110,182
1755747457,2025-08-21T03:37:37Z,N623FB,"33.61615,-112.100288",2000,110,182
1755747459,2025-08-21T03:37:39Z,N623FB,"33.615097,-112.100342",2025,110,183
1755747461,2025-08-21T03:37:41Z,N623FB,"33.614021,-112.100433",2025,110,183
1755747463,2025-08-21T03:37:43Z,N623FB,"33.612904,-112.100487",2025,109,183
1755747465,2025-08-21T03:37:45Z,N623FB,"33.611599,-112.100601",2000,109,184
1755747472,2025-08-21T03:37:52Z,N623FB,"33.608295,-112.100998",2025,108,186
1755747479,2025-08-21T03:37:59Z,N623FB,"33.604942,-112.101349",2000,110,183
1755747488,2025-08-21T03:38:08Z,N623FB,"33.600586,-112.101295",2025,110,177
1755747490,2025-08-21T03:38:10Z,N623FB,"33.59935,-112.101242",2025,110,177
1755747492,2025-08-21T03:38:12Z,N623FB,"33.59816,-112.101242",2025,110,177
1755747494,2025-08-21T03:38:14Z,N623FB,"33.597015,-112.101189",2025,110,177
1755747496,2025-08-21T03:38:16Z,N623FB,"33.59605,-112.10112",2050,110,177
1755747499,2025-08-21T03:38:19Z,N623FB,"33.594772,-112.101074",2050,110,178
1755747501,2025-08-21T03:38:21Z,N623FB,"33.593819,-112.101059",2050,110,178
1755747503,2025-08-21T03:38:23Z,N623FB,"33.592934,-112.100998",2050,110,178
1755747505,2025-08-21T03:38:25Z,N623FB,"33.591522,-112.10096",2075,110,178
1755747514,2025-08-21T03:38:34Z,N623FB,"33.587173,-112.100845",2075,110,178
1755747520,2025-08-21T03:38:40Z,N623FB,"33.583694,-112.100792",2100,110,178
1755747527,2025-08-21T03:38:47Z,N623FB,"33.580399,-112.100677",2075,112,178
1755747536,2025-08-21T03:38:56Z,N623FB,"33.575802,-112.100601",2025,115,179
1755747542,2025-08-21T03:39:02Z,N623FB,"33.572662,-112.100571",2000,117,180
1755747551,2025-08-21T03:39:11Z,N623FB,"33.567936,-112.100662",1950,117,181
1755747553,2025-08-21T03:39:13Z,N623FB,"33.566757,-112.100677",1925,116,184
1755747555,2025-08-21T03:39:15Z,N623FB,"33.565468,-112.100891",1925,114,188
1755747557,2025-08-21T03:39:17Z,N623FB,"33.564148,-112.101189",1900,113,193
1755747559,2025-08-21T03:39:19Z,N623FB,"33.563278,-112.101463",1875,111,197
1755747562,2025-08-21T03:39:22Z,N623FB,"33.562069,-112.102036",1875,108,202
1755747564,2025-08-21T03:39:24Z,N623FB,"33.561138,-112.102493",1850,106,204
1755747566,2025-08-21T03:39:26Z,N623FB,"33.560028,-112.103088",1850,104,204
1755747568,2025-08-21T03:39:28Z,N623FB,"33.559113,-112.103539",1850,102,200
1755747570,2025-08-21T03:39:30Z,N623FB,"33.558205,-112.103867",1825,99,190
1755747575,2025-08-21T03:39:35Z,N623FB,"33.556183,-112.10376",1850,95,166
1755747577,2025-08-21T03:39:37Z,N623FB,"33.555359,-112.103317",1850,94,146
1755747579,2025-08-21T03:39:39Z,N623FB,"33.554581,-112.102417",1875,96,133
1755747581,2025-08-21T03:39:41Z,N623FB,"33.554153,-112.101456",1875,96,112
1755747583,2025-08-21T03:39:43Z,N623FB,"33.55394,-112.100403",1875,94,98
1755747586,2025-08-21T03:39:46Z,N623FB,"33.55397,-112.099457",1900,90,79
1755747588,2025-08-21T03:39:48Z,N623FB,"33.554203,-112.098427",1900,85,63
1755747590,2025-08-21T03:39:50Z,N623FB,"33.554806,-112.097458",1925,79,45
1755747592,2025-08-21T03:39:52Z,N623FB,"33.555412,-112.096878",1925,75,28
1755747594,2025-08-21T03:39:54Z,N623FB,"33.556065,-112.096649",1925,74,14
1755747597,2025-08-21T03:39:57Z,N623FB,"33.556915,-112.096474",1925,74,3
1755747599,2025-08-21T03:39:59Z,N623FB,"33.557648,-112.096481",1925,73,359
1755747601,2025-08-21T03:40:01Z,N623FB,"33.558472,-112.096535",1925,71,351
1755747603,2025-08-21T03:40:03Z,N623FB,"33.559181,-112.09671",1925,71,344
