Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1755919805,2025-08-23T03:30:05Z,N623FB,"33.686554,-112.073944",0,0,270
1755919918,2025-08-23T03:31:58Z,N623FB,"33.686783,-112.073952",0,5,2
1755919941,2025-08-23T03:32:21Z,N623FB,"33.686829,-112.074165",1575,25,253
1755919943,2025-08-23T03:32:23Z,N623FB,"33.686783,-112.074501",1550,31,264
1755919946,2025-08-23T03:32:26Z,N623FB,"33.686737,-112.075119",1550,41,267
1755919948,2025-08-23T03:32:28Z,N623FB,"33.686687,-112.075714",1575,52,265
1755919950,2025-08-23T03:32:30Z,N623FB,"33.686646,-112.076294",1575,57,264
1755919953,2025-08-23T03:32:33Z,N623FB,"33.686596,-112.077255",1600,60,266
1755919960,2025-08-23T03:32:40Z,N623FB,"33.686504,-112.079773",1675,67,268
1755919964,2025-08-23T03:32:44Z,N623FB,"33.686317,-112.081314",1750,66,255
1755919966,2025-08-23T03:32:46Z,N623FB,"33.686085,-112.082001",1800,65,238
1755919969,2025-08-23T03:32:49Z,N623FB,"33.685619,-112.082581",1850,67,213
1755919971,2025-08-23T03:32:51Z,N623FB,"33.684814,-112.083023",1900,68,196
1755919973,2025-08-23T03:32:53Z,N623FB,"33.684311,-112.083076",1925,71,188
1755919975,2025-08-23T03:32:55Z,N623FB,"33.683487,-112.083191",1950,78,182
1755919977,2025-08-23T03:32:57Z,N623FB,"33.682686,-112.083206",1975,82,181
1755919979,2025-08-23T03:32:59Z,N623FB,"33.681747,-112.083252",1975,85,180
1755919982,2025-08-23T03:33:02Z,N623FB,"33.68087,-112.083206",2000,86,178
1755919984,2025-08-23T03:33:04Z,N623FB,"33.679962,-112.083191",2000,88,178
1755919986,2025-08-23T03:33:06Z,N623FB,"33.679146,-112.083145",2000,91,178
1755919988,2025-08-23T03:33:08Z,N623FB,"33.678123,-112.083092",2025,93,179
1755919990,2025-08-23T03:33:10Z,N623FB,"33.677238,-112.083092",2025,96,180
1755919992,2025-08-23T03:33:12Z,N623FB,"33.676483,-112.083138",2025,99,180
1755919994,2025-08-23T03:33:14Z,N623FB,"33.675385,-112.083138",2050,101,180
1755919996,2025-08-23T03:33:16Z,N623FB,"33.6744,-112.083092",2050,104,180
1755919999,2025-08-23T03:33:19Z,N623FB,"33.673283,-112.083092",2050,107,180
1755920001,2025-08-23T03:33:21Z,N623FB,"33.672134,-112.083138",2075,109,180
1755920003,2025-08-23T03:33:23Z,N623FB,"33.671127,-112.083076",2075,111,179
1755920012,2025-08-23T03:33:32Z,N623FB,"33.666439,-112.083038",2100,119,179
1755920018,2025-08-23T03:33:38Z,N623FB,"33.66275,-112.082855",2100,125,175
1755920020,2025-08-23T03:33:40Z,N623FB,"33.661606,-112.082741",2100,126,175
1755920023,2025-08-23T03:33:43Z,N623FB,"33.660095,-112.082573",2100,126,175
1755920029,2025-08-23T03:33:49Z,N623FB,"33.656105,-112.082458",2100,127,180
1755920032,2025-08-23T03:33:52Z,N623FB,"33.654648,-112.082573",2100,126,184
1755920034,2025-08-23T03:33:54Z,N623FB,"33.65345,-112.082748",2100,124,189
1755920036,2025-08-23T03:33:56Z,N623FB,"33.652332,-112.083092",2125,123,195
1755920038,2025-08-23T03:33:58Z,N623FB,"33.651264,-112.083496",2125,122,199
1755920040,2025-08-23T03:34:00Z,N623FB,"33.649933,-112.084091",2125,122,200
1755920042,2025-08-23T03:34:02Z,N623FB,"33.649063,-112.08448",2125,121,200
1755920044,2025-08-23T03:34:04Z,N623FB,"33.64801,-112.08493",2125,121,200
1755920047,2025-08-23T03:34:07Z,N623FB,"33.646729,-112.085487",2125,122,200
1755920049,2025-08-23T03:34:09Z,N623FB,"33.645355,-112.086105",2125,123,199
1755920051,2025-08-23T03:34:11Z,N623FB,"33.644325,-112.086525",2125,122,199
1755920053,2025-08-23T03:34:13Z,N623FB,"33.643116,-112.086983",2100,123,197
1755920055,2025-08-23T03:34:15Z,N623FB,"33.641968,-112.087456",2100,125,197
1755920057,2025-08-23T03:34:17Z,N623FB,"33.641113,-112.087723",2100,125,196
1755920060,2025-08-23T03:34:20Z,N623FB,"33.639587,-112.088295",2075,127,196
1755920062,2025-08-23T03:34:22Z,N623FB,"33.638443,-112.088684",2075,128,196
1755920064,2025-08-23T03:34:24Z,N623FB,"33.636978,-112.089249",2050,128,196
1755920070,2025-08-23T03:34:30Z,N623FB,"33.63348,-112.090416",2050,127,195
1755920073,2025-08-23T03:34:33Z,N623FB,"33.632401,-112.090759",2025,127,195
1755920075,2025-08-23T03:34:35Z,N623FB,"33.630966,-112.091217",2025,127,194
1755920077,2025-08-23T03:34:37Z,N623FB,"33.629848,-112.09156",2025,127,194
1755920079,2025-08-23T03:34:39Z,N623FB,"33.628452,-112.092018",2025,127,194
1755920086,2025-08-23T03:34:46Z,N623FB,"33.624573,-112.093338",2050,124,199
1755920093,2025-08-23T03:34:53Z,N623FB,"33.620819,-112.095016",2050,123,200
1755920101,2025-08-23T03:35:01Z,N623FB,"33.616257,-112.096878",2025,127,197
1755920108,2025-08-23T03:35:08Z,N623FB,"33.612259,-112.098381",2000,128,196
1755920113,2025-08-23T03:35:13Z,N623FB,"33.609879,-112.099167",1975,130,192
1755920115,2025-08-23T03:35:15Z,N623FB,"33.608505,-112.099449",1975,130,188
1755920117,2025-08-23T03:35:17Z,N623FB,"33.606899,-112.099686",1975,130,185
1755920120,2025-08-23T03:35:20Z,N623FB,"33.605484,-112.099785",1975,131,182
1755920122,2025-08-23T03:35:22Z,N623FB,"33.60434,-112.0998",1975,131,181
1755920124,2025-08-23T03:35:24Z,N623FB,"33.603058,-112.099838",2000,130,180
1755920126,2025-08-23T03:35:26Z,N623FB,"33.601826,-112.099854",2000,130,180
1755920128,2025-08-23T03:35:28Z,N623FB,"33.600845,-112.099854",2000,130,179
1755920130,2025-08-23T03:35:30Z,N623FB,"33.599636,-112.0998",2000,130,178
1755920132,2025-08-23T03:35:32Z,N623FB,"33.59816,-112.099731",2025,129,177
1755920134,2025-08-23T03:35:34Z,N623FB,"33.596981,-112.099686",2025,129,176
1755920137,2025-08-23T03:35:37Z,N623FB,"33.595585,-112.099571",2000,130,176
