id,flight_id,registration,callsign,departure_time,arrival_time,flight_duration_minutes,departure_airport,arrival_airport,max_altitude_feet,min_altitude_feet,avg_altitude_feet,estimated_cost,fuel_consumed_gallons
4464,fr24_historical_N621FB_20230926_120000,N621FB,,2023-09-26 12:00:00+00,,,,,,,,,
4463,fr24_historical_N621FB_20230926_220000,N621FB,,2023-09-26 22:00:00+00,,,,,,,,,
4462,fr24_historical_N621FB_20230927_020000,N621FB,,2023-09-27 02:00:00+00,,,,,,,,,
4461,fr24_historical_N621FB_20230927_160000,N621FB,,2023-09-27 16:00:00+00,,,,,,,,,
4460,fr24_historical_N621FB_20230928_000000,N621FB,,2023-09-28 00:00:00+00,,,,,,,,,
4459,fr24_historical_N622FB_20230928_180000,N622FB,,2023-09-28 18:00:00+00,,,,,,,,,
4458,fr24_historical_N622FB_20230928_200000,N622FB,,2023-09-28 20:00:00+00,,,,,,,,,
4457,fr24_historical_N622FB_20230928_220000,N622FB,,2023-09-28 22:00:00+00,,,,,,,,,
4456,fr24_historical_N622FB_20230929_000000,N622FB,,2023-09-29 00:00:00+00,,,,,,,,,
4455,fr24_historical_N622FB_20230929_020000,N622FB,,2023-09-29 02:00:00+00,,,,,,,,,
4454,fr24_historical_N621FB_20230929_040000,N621FB,,2023-09-29 04:00:00+00,,,,,,,,,
4453,fr24_historical_N621FB_20230929_080000,N621FB,,2023-09-29 08:00:00+00,,,,,,,,,
4452,fr24_historical_N622FB_20230929_160000,N622FB,,2023-09-29 16:00:00+00,,,,,,,,,
4451,fr24_historical_N621FB_20230929_220000,N621FB,,2023-09-29 22:00:00+00,,,,,,,,,
4450,fr24_historical_N621FB_20230930_020000,N621FB,,2023-09-30 02:00:00+00,,,,,,,,,
4449,fr24_historical_N621FB_20230930_060000,N621FB,,2023-09-30 06:00:00+00,,,,,,,,,
4448,fr24_historical_N621FB_20231001_040000,N621FB,,2023-10-01 04:00:00+00,,,,,,,,,
4447,fr24_historical_N621FB_20231001_080000,N621FB,,2023-10-01 08:00:00+00,,,,,,,,,
4446,fr24_historical_N621FB_20231001_160000,N621FB,,2023-10-01 16:00:00+00,,,,,,,,,
4445,fr24_historical_N621FB_20231001_200000,N621FB,,2023-10-01 20:00:00+00,,,,,,,,,
4444,fr24_historical_N622FB_20231002_200000,N622FB,,2023-10-02 20:00:00+00,,,,,,,,,
4443,fr24_historical_N622FB_20231003_000000,N622FB,,2023-10-03 00:00:00+00,,,,,,,,,
4442,fr24_historical_N622FB_20231004_040000,N622FB,,2023-10-04 04:00:00+00,,,,,,,,,
4441,fr24_historical_N622FB_20231006_040000,N622FB,,2023-10-06 04:00:00+00,,,,,,,,,
4440,fr24_historical_N622FB_20231006_080000,N622FB,,2023-10-06 08:00:00+00,,,,,,,,,
4439,fr24_historical_N622FB_20231007_000000,N622FB,,2023-10-07 00:00:00+00,,,,,,,,,
4438,fr24_historical_N622FB_20231007_020000,N622FB,,2023-10-07 02:00:00+00,,,,,,,,,
4437,fr24_historical_N622FB_20231008_060000,N622FB,,2023-10-08 06:00:00+00,,,,,,,,,
4436,fr24_historical_N622FB_20231009_000000,N622FB,,2023-10-09 00:00:00+00,,,,,,,,,
4435,fr24_historical_N622FB_20231010_000000,N622FB,,2023-10-10 00:00:00+00,,,,,,,,,
4434,fr24_historical_N622FB_20231015_200000,N622FB,,2023-10-15 20:00:00+00,,,,,,,,,
4433,fr24_historical_N622FB_20231016_000000,N622FB,,2023-10-16 00:00:00+00,,,,,,,,,
4432,fr24_historical_N622FB_20231016_060000,N622FB,,2023-10-16 06:00:00+00,,,,,,,,,
4431,fr24_historical_N622FB_20231016_100000,N622FB,,2023-10-16 10:00:00+00,,,,,,,,,
4430,fr24_historical_N622FB_20231017_040000,N622FB,,2023-10-17 04:00:00+00,,,,,,,,,
4429,fr24_historical_N622FB_20231017_080000,N622FB,,2023-10-17 08:00:00+00,,,,,,,,,
4428,fr24_historical_N622FB_20231018_040000,N622FB,,2023-10-18 04:00:00+00,,,,,,,,,
4427,fr24_historical_N622FB_20231018_080000,N622FB,,2023-10-18 08:00:00+00,,,,,,,,,
4426,fr24_historical_N622FB_20231018_160000,N622FB,,2023-10-18 16:00:00+00,,,,,,,,,
4425,fr24_historical_N622FB_20231019_080000,N622FB,,2023-10-19 08:00:00+00,,,,,,,,,
4424,fr24_historical_N622FB_20231020_180000,N622FB,,2023-10-20 18:00:00+00,,,,,,,,,
4423,fr24_historical_N622FB_20231021_160000,N622FB,,2023-10-21 16:00:00+00,,,,,,,,,
4422,fr24_historical_N622FB_20231021_200000,N622FB,,2023-10-21 20:00:00+00,,,,,,,,,
4421,fr24_historical_N622FB_20231022_060000,N622FB,,2023-10-22 06:00:00+00,,,,,,,,,
4420,fr24_historical_N622FB_20231023_040000,N622FB,,2023-10-23 04:00:00+00,,,,,,,,,
4419,fr24_historical_N622FB_20231023_080000,N622FB,,2023-10-23 08:00:00+00,,,,,,,,,
4418,fr24_historical_N622FB_20231023_160000,N622FB,,2023-10-23 16:00:00+00,,,,,,,,,
4417,fr24_historical_N622FB_20231023_180000,N622FB,,2023-10-23 18:00:00+00,,,,,,,,,
4416,fr24_historical_N622FB_20231023_200000,N622FB,,2023-10-23 20:00:00+00,,,,,,,,,
4415,fr24_historical_N622FB_20231024_160000,N622FB,,2023-10-24 16:00:00+00,,,,,,,,,
4414,fr24_historical_N622FB_20231024_200000,N622FB,,2023-10-24 20:00:00+00,,,,,,,,,
4413,fr24_historical_N622FB_20231026_140000,N622FB,,2023-10-26 14:00:00+00,,,,,,,,,
4412,fr24_historical_N622FB_20231026_180000,N622FB,,2023-10-26 18:00:00+00,,,,,,,,,
4398,fr24_historical_N622FB_20240616_000000,N622FB,,2024-06-16 00:00:00+00,,,,,,,,,
4397,fr24_historical_N622FB_20240617_060000,N622FB,,2024-06-17 06:00:00+00,,,,,,,,,
4396,fr24_historical_N622FB_20240621_000000,N622FB,,2024-06-21 00:00:00+00,,,,,,,,,
4395,fr24_historical_N622FB_20240623_060000,N622FB,,2024-06-23 06:00:00+00,,,,,,,,,
4394,fr24_historical_N622FB_20240624_000000,N622FB,,2024-06-24 00:00:00+00,,,,,,,,,
4393,fr24_historical_N622FB_20240626_000000,N622FB,,2024-06-26 00:00:00+00,,,,,,,,,
4392,fr24_historical_N622FB_20240627_000000,N622FB,,2024-06-27 00:00:00+00,,,,,,,,,
4391,fr24_historical_N622FB_20240703_000000,N622FB,,2024-07-03 00:00:00+00,,,,,,,,,
4390,fr24_historical_N622FB_20240704_000000,N622FB,,2024-07-04 00:00:00+00,,,,,,,,,
4389,fr24_historical_N622FB_20240706_180000,N622FB,,2024-07-06 18:00:00+00,,,,,,,,,
4388,fr24_historical_N622FB_20240717_000000,N622FB,,2024-07-17 00:00:00+00,,,,,,,,,
4387,fr24_historical_N622FB_20240717_060000,N622FB,,2024-07-17 06:00:00+00,,,,,,,,,
4386,fr24_historical_N622FB_20240720_000000,N622FB,,2024-07-20 00:00:00+00,,,,,,,,,
4385,fr24_historical_N621FB_20240723_180000,N621FB,,2024-07-23 18:00:00+00,,,,,,,,,
4384,fr24_historical_N622FB_20240727_000000,N622FB,,2024-07-27 00:00:00+00,,,,,,,,,
4383,fr24_historical_N622FB_20240729_060000,N622FB,,2024-07-29 06:00:00+00,,,,,,,,,
4382,fr24_historical_N621FB_20240731_060000,N621FB,,2024-07-31 06:00:00+00,,,,,,,,,
4381,fr24_historical_N621FB_20240807_000000,N621FB,,2024-08-07 00:00:00+00,,,,,,,,,
4380,fr24_historical_N622FB_20240807_060000,N622FB,,2024-08-07 06:00:00+00,,,,,,,,,
4379,fr24_historical_N621FB_20240807_180000,N621FB,,2024-08-07 18:00:00+00,,,,,,,,,
4378,fr24_historical_N621FB_20240808_180000,N621FB,,2024-08-08 18:00:00+00,,,,,,,,,
4377,fr24_historical_N622FB_20240809_060000,N622FB,,2024-08-09 06:00:00+00,,,,,,,,,
4376,fr24_historical_N622FB_20240810_000000,N622FB,,2024-08-10 00:00:00+00,,,,,,,,,
4375,fr24_historical_N621FB_20240812_060000,N621FB,,2024-08-12 06:00:00+00,,,,,,,,,
4374,fr24_historical_N621FB_20240813_000000,N621FB,,2024-08-13 00:00:00+00,,,,,,,,,
4373,fr24_historical_N621FB_20240815_000000,N621FB,,2024-08-15 00:00:00+00,,,,,,,,,
4372,fr24_historical_N622FB_20240815_060000,N622FB,,2024-08-15 06:00:00+00,,,,,,,,,
4371,fr24_historical_N621FB_20240817_000000,N621FB,,2024-08-17 00:00:00+00,,,,,,,,,
4370,fr24_historical_N622FB_20240817_060000,N622FB,,2024-08-17 06:00:00+00,,,,,,,,,
4369,fr24_historical_N622FB_20240818_060000,N622FB,,2024-08-18 06:00:00+00,,,,,,,,,
4368,fr24_historical_N621FB_20240821_000000,N621FB,,2024-08-21 00:00:00+00,,,,,,,,,
4367,fr24_historical_N621FB_20240821_060000,N621FB,,2024-08-21 06:00:00+00,,,,,,,,,
4366,fr24_historical_N621FB_20240821_180000,N621FB,,2024-08-21 18:00:00+00,,,,,,,,,
4365,fr24_historical_N622FB_20240823_060000,N622FB,,2024-08-23 06:00:00+00,,,,,,,,,
4364,fr24_historical_N621FB_20240824_000000,N621FB,,2024-08-24 00:00:00+00,,,,,,,,,
4363,fr24_historical_N622FB_20240824_060000,N622FB,,2024-08-24 06:00:00+00,,,,,,,,,
4362,fr24_historical_N621FB_20240825_000000,N621FB,,2024-08-25 00:00:00+00,,,,,,,,,
