hour,registration,unique_flights,position_records,avg_altitude,min_altitude,low_altitude_count,hover_count,total_hover_seconds
2023-09-26 12:00:00+00,N621FB,1,1,0.00000000000000000000,0,1,0,0
2023-09-26 22:00:00+00,N621FB,1,1,1625.0000000000000000,1625,0,0,0
2023-09-27 02:00:00+00,N621FB,1,1,1975.0000000000000000,1975,0,0,0
2023-09-27 16:00:00+00,N621FB,1,1,1800.0000000000000000,1800,0,0,0
2023-09-28 00:00:00+00,N621FB,1,1,1975.0000000000000000,1975,0,0,0
2023-09-28 18:00:00+00,N622FB,1,1,1775.0000000000000000,1775,0,0,0
2023-09-28 20:00:00+00,N622FB,1,1,2125.0000000000000000,2125,0,0,0
2023-09-28 22:00:00+00,N622FB,1,1,0.00000000000000000000,0,1,0,0
2023-09-29 00:00:00+00,N622FB,1,1,1925.0000000000000000,1925,0,0,0
2023-09-29 02:00:00+00,N622FB,1,1,2150.0000000000000000,2150,0,0,0
2023-09-29 04:00:00+00,N621FB,1,1,2050.0000000000000000,2050,0,0,0
2023-09-29 08:00:00+00,N621FB,1,1,2025.0000000000000000,2025,0,0,0
2023-09-29 16:00:00+00,N622FB,1,1,1825.0000000000000000,1825,0,0,0
2023-09-29 22:00:00+00,N621FB,1,1,2175.0000000000000000,2175,0,0,0
2023-09-30 02:00:00+00,N621FB,1,1,1975.0000000000000000,1975,0,0,0
2023-09-30 06:00:00+00,N621FB,1,1,1925.0000000000000000,1925,0,0,0
2023-10-01 04:00:00+00,N621FB,1,1,1850.0000000000000000,1850,0,0,0
2023-10-01 08:00:00+00,N621FB,1,1,2150.0000000000000000,2150,0,0,0
2023-10-01 16:00:00+00,N621FB,1,1,1875.0000000000000000,1875,0,0,0
2023-10-01 20:00:00+00,N621FB,1,1,2075.0000000000000000,2075,0,0,0
2023-10-02 20:00:00+00,N622FB,1,1,2200.0000000000000000,2200,0,0,0
2023-10-03 00:00:00+00,N622FB,1,1,2000.0000000000000000,2000,0,0,0
2023-10-04 04:00:00+00,N622FB,1,1,2200.0000000000000000,2200,0,0,0
2023-10-06 04:00:00+00,N622FB,1,1,1825.0000000000000000,1825,0,0,0
2023-10-06 08:00:00+00,N622FB,1,1,1800.0000000000000000,1800,0,0,0
2023-10-07 00:00:00+00,N622FB,1,1,1725.0000000000000000,1725,0,0,0
2023-10-07 02:00:00+00,N622FB,1,1,1975.0000000000000000,1975,0,0,0
2023-10-08 06:00:00+00,N622FB,1,1,1675.0000000000000000,1675,0,0,0
2023-10-09 00:00:00+00,N622FB,1,1,2025.0000000000000000,2025,0,0,0
2023-10-10 00:00:00+00,N622FB,1,1,2150.0000000000000000,2150,0,0,0
2023-10-15 20:00:00+00,N622FB,1,1,1625.0000000000000000,1625,0,0,0
2023-10-16 00:00:00+00,N622FB,1,1,1925.0000000000000000,1925,0,0,0
2023-10-16 06:00:00+00,N622FB,1,1,1550.0000000000000000,1550,0,0,0
2023-10-16 10:00:00+00,N622FB,1,1,2725.0000000000000000,2725,0,0,0
2023-10-17 04:00:00+00,N622FB,1,1,1800.0000000000000000,1800,0,0,0
2023-10-17 08:00:00+00,N622FB,1,1,2050.0000000000000000,2050,0,0,0
2023-10-18 04:00:00+00,N622FB,1,1,1500.0000000000000000,1500,0,0,0
2023-10-18 08:00:00+00,N622FB,1,1,2000.0000000000000000,2000,0,0,0
2023-10-18 16:00:00+00,N622FB,1,1,1900.0000000000000000,1900,0,0,0
2023-10-19 08:00:00+00,N622FB,1,1,1900.0000000000000000,1900,0,0,0
2023-10-20 18:00:00+00,N622FB,1,1,2025.0000000000000000,2025,0,0,0
2023-10-21 16:00:00+00,N622FB,1,1,1675.0000000000000000,1675,0,0,0
2023-10-21 20:00:00+00,N622FB,1,1,2125.0000000000000000,2125,0,0,0
2023-10-22 06:00:00+00,N622FB,1,1,1950.0000000000000000,1950,0,0,0
2023-10-23 04:00:00+00,N622FB,1,1,1875.0000000000000000,1875,0,0,0
2023-10-23 08:00:00+00,N622FB,1,1,1925.0000000000000000,1925,0,0,0
2023-10-23 16:00:00+00,N622FB,1,1,1900.0000000000000000,1900,0,0,0
2023-10-23 18:00:00+00,N622FB,1,1,2225.0000000000000000,2225,0,0,0
2023-10-23 20:00:00+00,N622FB,1,1,2325.0000000000000000,2325,0,0,0
