flight_date,registration,hour,position_count,avg_altitude,min_altitude
2023-09-26,N621FB,22,1,1625.0000000000000000,1625
2023-09-27,N621FB,2,1,1975.0000000000000000,1975
2023-09-28,N621FB,0,1,1975.0000000000000000,1975
2023-09-28,N622FB,22,1,0.00000000000000000000,0
2023-09-29,N622FB,0,1,1925.0000000000000000,1925
2023-09-29,N622FB,2,1,2150.0000000000000000,2150
2023-09-29,N621FB,4,1,2050.0000000000000000,2050
2023-09-29,N621FB,22,1,2175.0000000000000000,2175
2023-09-30,N621FB,2,1,1975.0000000000000000,1975
2023-10-01,N621FB,4,1,1850.0000000000000000,1850
2023-10-03,N622FB,0,1,2000.0000000000000000,2000
2023-10-04,N622FB,4,1,2200.0000000000000000,2200
2023-10-06,N622FB,4,1,1825.0000000000000000,1825
2023-10-07,N622FB,0,1,1725.0000000000000000,1725
2023-10-07,N622FB,2,1,1975.0000000000000000,1975
2023-10-09,N622FB,0,1,2025.0000000000000000,2025
2023-10-10,N622FB,0,1,2150.0000000000000000,2150
2023-10-16,N622FB,0,1,1925.0000000000000000,1925
2023-10-17,N622FB,4,1,1800.0000000000000000,1800
2023-10-18,N622FB,4,1,1500.0000000000000000,1500
2023-10-23,N622FB,4,1,1875.0000000000000000,1875
2024-06-16,N622FB,0,1,2300.0000000000000000,2300
2024-06-21,N622FB,0,1,2775.0000000000000000,2775
2024-06-24,N622FB,0,1,1850.0000000000000000,1850
2024-06-26,N622FB,0,1,2175.0000000000000000,2175
2024-06-27,N622FB,0,1,1925.0000000000000000,1925
2024-07-03,N622FB,0,1,1825.0000000000000000,1825
2024-07-04,N622FB,0,1,1950.0000000000000000,1950
2024-07-17,N622FB,0,1,1875.0000000000000000,1875
2024-07-20,N622FB,0,1,1950.0000000000000000,1950
2024-07-27,N622FB,0,1,2075.0000000000000000,2075
2024-08-07,N621FB,0,1,2025.0000000000000000,2025
2024-08-10,N622FB,0,1,1825.0000000000000000,1825
2024-08-13,N621FB,0,1,1850.0000000000000000,1850
2024-08-15,N621FB,0,1,1900.0000000000000000,1900
2024-08-17,N621FB,0,1,1875.0000000000000000,1875
2024-08-21,N621FB,0,1,1925.0000000000000000,1925
2024-08-24,N621FB,0,1,1750.0000000000000000,1750
2024-08-25,N621FB,0,1,3050.0000000000000000,3050
2024-08-26,N621FB,0,1,1900.0000000000000000,1900
2024-08-27,N621FB,0,1,1850.0000000000000000,1850
2024-08-29,N621FB,0,1,1825.0000000000000000,1825
2024-08-31,N621FB,0,1,2050.0000000000000000,2050
2024-09-01,N622FB,0,1,2300.0000000000000000,2300
2024-09-03,N622FB,0,1,2050.0000000000000000,2050
2024-09-04,N622FB,0,1,2025.0000000000000000,2025
2024-09-07,N622FB,0,1,1700.0000000000000000,1700
2024-09-08,N622FB,0,1,2000.0000000000000000,2000
2024-09-09,N622FB,0,1,1950.0000000000000000,1950
2024-09-10,N621FB,0,1,2050.0000000000000000,2050
2024-09-11,N624FB,0,1,2175.0000000000000000,2175
2024-09-14,N622FB,22,456,2086.1293859649122807,0
2024-09-14,N622FB,23,806,2140.6637717121588089,0
2024-09-15,N622FB,1,18,1375.0000000000000000,0
2024-09-15,N622FB,2,1098,1989.7540983606557377,1725
2024-09-15,N622FB,3,601,1914.9750415973377704,0
2024-09-15,N625FB,3,398,1937.7512562814070352,0
2024-09-15,N625FB,4,1068,1846.0674157303370787,1675
2024-09-15,N625FB,5,197,1852.9187817258883249,0
2024-09-15,N624FB,23,893,2051.9876819708846585,0
2024-09-16,N624FB,0,733,2063.5402455661664393,0
2024-09-16,N624FB,2,877,2086.7160775370581528,0
2024-09-16,N623FB,3,412,1954.9757281553398058,0
2024-09-16,N624FB,3,832,1939.7536057692307692,0
2024-09-16,N623FB,4,884,1815.4694570135746606,1650
2024-09-16,N623FB,5,266,1903.3834586466165414,1625
2024-09-16,N623FB,23,825,2021.5757575757575758,0
2024-09-17,N623FB,0,820,2075.6707317073170732,1675
2024-09-17,N623FB,2,843,1998.0427046263345196,0
2024-09-17,N622FB,3,463,1858.9632829373650108,0
2024-09-17,N623FB,3,805,1960.6521739130434783,0
2024-09-17,N622FB,4,1018,1755.3290766208251473,1525
2024-09-17,N621FB,5,645,2108.7596899224806202,0
2024-09-17,N622FB,5,275,1833.7272727272727273,1625
2024-09-17,N621FB,23,595,1993.7394957983193277,0
2024-09-18,N621FB,0,552,2063.4057971014492754,0
2024-09-18,N621FB,2,828,1942.8140096618357488,0
2024-09-18,N621FB,3,762,1877.8215223097112861,0
2024-09-18,N623FB,3,474,1873.5232067510548523,0
2024-09-18,N623FB,4,1108,1700.6543321299638989,1525
2024-09-18,N623FB,5,257,1818.7743190661478599,1550
2024-09-18,N624FB,5,980,2118.9030612244897959,0
2024-09-18,N622FB,22,113,2028.7610619469026549,0
2024-09-18,N622FB,23,971,2076.7250257466529351,1700
2024-09-19,N622FB,0,501,2066.6666666666666667,0
2024-09-19,N622FB,2,944,2120.8156779661016949,0
2024-09-19,N621FB,3,481,1925.6237006237006237,0
2024-09-19,N622FB,3,607,2228.6655683690280066,1625
2024-09-19,N621FB,4,1058,1729.7967863894139887,1475
2024-09-19,N621FB,5,290,1745.5172413793103448,1525
2024-09-19,N622FB,5,1103,1899.7280145058930190,0
2024-09-19,N622FB,23,863,1842.9606025492468134,0
2024-09-20,N622FB,0,980,2075.4591836734693878,0
2024-09-20,N622FB,2,885,1958.4180790960451977,0
2024-09-20,N621FB,3,492,1944.9186991869918699,0
2024-09-20,N622FB,3,656,2004.0015243902439024,0
2024-09-20,N621FB,4,1050,1894.4285714285714286,1625
2024-09-20,N621FB,5,259,2127.3166023166023166,0
2024-09-20,N622FB,5,1063,2336.6650987770460960,0
2024-09-20,N624FB,23,894,2280.1454138702460850,0
2024-09-21,N624FB,0,389,2241.1311053984575835,0
2024-09-21,N624FB,2,795,2040.2515723270440252,0
2024-09-21,N621FB,3,512,1998.2910156250000000,0
2024-09-21,N624FB,3,659,2118.8922610015174507,0
2024-09-21,N621FB,4,1091,2070.1649862511457379,1775
2024-09-21,N621FB,5,260,2059.8076923076923077,0
2024-09-21,N622FB,5,936,2065.3044871794871795,0
2024-09-21,N625FB,22,1,0.00000000000000000000,0
2024-09-21,N625FB,23,1029,1960.4956268221574344,0
2024-09-22,N625FB,0,734,1899.0122615803814714,0
2024-09-22,N625FB,1,6,0.00000000000000000000,0
2024-09-22,N625FB,2,1034,1996.2524177949709865,0
2024-09-22,N623FB,3,475,1806.6315789473684211,0
2024-09-22,N625FB,3,671,2158.4202682563338301,0
2024-09-22,N622FB,4,2,0.00000000000000000000,0
2024-09-22,N623FB,4,1112,1813.1070143884892086,1550
2024-09-22,N622FB,5,1044,1932.9262452107279693,0
2024-09-22,N623FB,5,148,1862.1621621621621622,0
2024-09-22,N622FB,23,840,2041.4880952380952381,0
2024-09-23,N622FB,0,525,2010.5238095238095238,0
2024-09-23,N622FB,2,1089,2085.7208448117539027,0
2024-09-23,N622FB,3,653,1962.4808575803981623,0
2024-09-23,N625FB,3,462,1751.1363636363636364,0
2024-09-23,N625FB,4,904,1946.8473451327433628,1575
2024-09-23,N622FB,5,999,2006.8318318318318318,0
2024-09-23,N625FB,5,13,1275.0000000000000000,0
2024-09-23,N622FB,22,838,2161.0381861575178998,0
2024-09-23,N622FB,23,1000,2172.5000000000000000,1875
2024-09-24,N622FB,0,537,2174.3947858472998138,0
2024-09-24,N622FB,2,720,2021.2847222222222222,0
2024-09-24,N621FB,3,479,1874.0605427974947808,0
2024-09-24,N622FB,3,740,2229.4256756756756757,0
2024-09-24,N621FB,4,984,1826.5752032520325203,1550
2024-09-24,N621FB,5,248,2191.8346774193548387,1625
2024-09-24,N622FB,5,997,2055.2657973921765296,0
2024-09-24,N622FB,22,691,1903.6179450072358900,0
2024-09-24,N622FB,23,847,2178.6009445100354191,0
2024-09-25,N622FB,2,722,2026.7313019390581717,0
2024-09-25,N622FB,3,674,2090.5786350148367953,0
